Year,Age of father,Value
2018,Total,326822
2018,0 - 19,254
2018,20 - 24,4350
2018,25 - 29,31212
2018,30 - 34,116784
2018,35 - 39,123549
2018,40 - 44,36679
2018,45 - 49,8671
2018,50 - 54,1489
2018,55 - 59,352
2018,60 - 64,80
2018,65 +,19
2018,Unknown,3383
2017,Total,357771
2017,0 - 19,316
2017,20 - 24,5327
2017,25 - 29,35206
2017,30 - 34,134872
2017,35 - 39,129431
2017,40 - 44,38723
2017,45 - 49,8394
2017,50 - 54,1408
2017,55 - 59,319
2017,60 - 64,56
2017,65 +,14
2017,Unknown,3705
2016,Total,406243
2016,0 - 19,524
2016,20 - 24,6522
2016,25 - 29,40563
2016,30 - 34,164694
2016,35 - 39,138323
2016,40 - 44,41444
2016,45 - 49,8323
2016,50 - 54,1328
2016,55 - 59,280
2016,60 - 64,57
2016,65 +,13
2016,Unknown,4172
2015,Total,438420
2015,0 - 19,614
2015,20 - 24,6786
2015,25 - 29,45153
2015,30 - 34,187484
2015,35 - 39,140994
2015,40 - 44,43404
2015,45 - 49,7854
2015,50 - 54,1285
2015,55 - 59,274
2015,60 - 64,49
2015,65 +,17
2015,Unknown,4506
2014,Total,435435
2014,0 - 19,701
2014,20 - 24,6360
2014,25 - 29,46247
2014,30 - 34,193602
2014,35 - 39,133148
2014,40 - 44,41732
2014,45 - 49,7105
2014,50 - 54,1331
2014,55 - 59,270
2014,60 - 64,50
2014,65 +,10
2014,Unknown,4879
2013,Total,436455
2013,0 - 19,726
2013,20 - 24,6306
2013,25 - 29,50479
2013,30 - 34,193995
2013,35 - 39,131473
2013,40 - 44,40043
2013,45 - 49,6723
2013,50 - 54,1334
2013,55 - 59,257
2013,60 - 64,38
2013,65 +,17
2013,Unknown,5064
2012,Total,484550
2012,0 - 19,768
2012,20 - 24,6211
2012,25 - 29,63733
2012,30 - 34,215753
2012,35 - 39,142641
2012,40 - 44,41606
2012,45 - 49,6848
2012,50 - 54,1375
2012,55 - 59,237
2012,60 - 64,72
2012,65 +,9
2012,Unknown,5297
2011,Total,471265
2011,0 - 19,750
2011,20 - 24,6315
2011,25 - 29,69549
2011,30 - 34,205090
2011,35 - 39,138749
2011,40 - 44,37866
2011,45 - 49,6506
2011,50 - 54,1375
2011,55 - 59,249
2011,60 - 64,50
2011,65 +,6
2011,Unknown,4760
2010,Total,470171
2010,0 - 19,603
2010,20 - 24,5877
2010,25 - 29,73309
2010,30 - 34,205354
2010,35 - 39,137984
2010,40 - 44,34232
2010,45 - 49,6093
2010,50 - 54,1129
2010,55 - 59,208
2010,60 - 64,48
2010,65 +,16
2010,Unknown,5318
2009,Total,444849
2009,0 - 19,459
2009,20 - 24,5812
2009,25 - 29,77502
2009,30 - 34,195345
2009,35 - 39,126166
2009,40 - 44,28816
2009,45 - 49,5398
2009,50 - 54,961
2009,55 - 59,189
2009,60 - 64,47
2009,65 +,12
2009,Unknown,4142
2008,Total,465892
2008,0 - 19,533
2008,20 - 24,7050
2008,25 - 29,83340
2008,30 - 34,209270
2008,35 - 39,127976
2008,40 - 44,27005
2008,45 - 49,5371
2008,50 - 54,927
2008,55 - 59,183
2008,60 - 64,50
2008,65 +,13
2008,Unknown,4174
2007,Total,496822
2007,0 - 19,630
2007,20 - 24,8612
2007,25 - 29,92618
2007,30 - 34,228152
2007,35 - 39,129438
2007,40 - 44,26562
2007,45 - 49,5212
2007,50 - 54,929
2007,55 - 59,184
2007,60 - 64,38
2007,65 +,15
2007,Unknown,4432
2006,Total,451514
2006,Total,451759
2006,0 - 19,622
2006,0 - 19,600
2006,20 - 24,8578
2006,20 - 24,8641
2006,25 - 29,84640
2006,25 - 29,84649
2006,30 - 34,217157
2006,30 - 34,216688
2006,35 - 39,109257
2006,35 - 39,109425
2006,40 - 44,22101
2006,40 - 44,22217
2006,45 - 49,4268
2006,45 - 49,4152
2006,50 - 54,666
2006,50 - 54,698
2006,55 - 59,145
2006,55 - 59,128
2006,60 - 64,19
2006,60 - 64,25
2006,65 +,3
2006,65 +,3
2006,Unknown,4036
2006,Unknown,4555
2005,Total,438062
2005,Total,438707
2005,0 - 19,565
2005,0 - 19,530
2005,20 - 24,8997
2005,20 - 24,9058
2005,25 - 29,86436
2005,25 - 29,86363
2005,30 - 34,215917
2005,30 - 34,215513
2005,35 - 39,97469
2005,35 - 39,97551
2005,40 - 44,20234
2005,40 - 44,20432
2005,45 - 49,3718
2005,45 - 49,3604
2005,50 - 54,575
2005,50 - 54,622
2005,55 - 59,145
2005,55 - 59,133
2005,60 - 64,34
2005,60 - 64,35
2005,65 +,6
2005,65 +,4
2005,Unknown,4120
2005,Unknown,4708
2004,Total,476052
2004,Total,476958
2004,0 - 19,615
2004,0 - 19,558
2004,20 - 24,10581
2004,20 - 24,10778
2004,25 - 29,100148
2004,25 - 29,99262
2004,30 - 34,239234
2004,30 - 34,238681
2004,35 - 39,96890
2004,35 - 39,97505
2004,40 - 44,20515
2004,40 - 44,20595
2004,45 - 49,3661
2004,45 - 49,3552
2004,50 - 54,522
2004,50 - 54,586
2004,55 - 59,127
2004,55 - 59,122
2004,60 - 64,18
2004,60 - 64,38
2004,65 +,6
2004,65 +,2
2004,Unknown,4181
2004,Unknown,4833
2003,Total,493471
2003,Total,495036
2003,0 - 19,721
2003,0 - 19,652
2003,20 - 24,10987
2003,20 - 24,11133
2003,25 - 29,113666
2003,25 - 29,113562
2003,30 - 34,246976
2003,30 - 34,246647
2003,35 - 39,91565
2003,35 - 39,91345
2003,40 - 44,20166
2003,40 - 44,20524
2003,45 - 49,3337
2003,45 - 49,3107
2003,50 - 54,523
2003,50 +,597
2003,55 - 59,127
2003,60 - 64,35
2003,65 +,0
2003,Unknown,6758
2003,Unknown,6079
2002,Total,496911
2002,0 - 19,890
2002,20 - 24,11924
2002,25 - 29,122969
2002,30 - 34,241965
2002,35 - 39,89872
2002,40 - 44,20099
2002,45 - 49,2896
2002,50 - 54,501
2002,55 - 59,115
2002,60 - 64,32
2002,65 +,4
2002,Unknown,5644
2001,Total,559934
2001,0 - 19,1086
2001,20 - 24,13833
2001,25 - 29,153580
2001,30 - 34,266851
2001,35 - 39,96655
2001,40 - 44,20676
2001,45 - 49,2982
2001,50 - 54,502
2001,55 - 59,131
2001,60 - 64,38
2001,65 +,11
2001,Unknown,3589
