기간	구분	계	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50세 이상	연령미상	15세 미만
2000	구분	133,154	121	1,969	36,129	65,894	23,005	4,492	619	177	748	-
2001	구분	114,764	139	1,698	28,040	58,288	20,888	4,223	601	150	737	-
2002	구분	102,008	98	1,449	21,647	53,022	19,696	4,163	613	139	1,180	1
2003	구분	101,227	74	1,263	19,839	53,100	20,436	4,229	742	167	1,377	-
2004	구분	99,828	67	1,273	17,046	53,292	21,812	4,255	794	173	1,116	-
2005	구분	90,468	61	1,077	14,229	47,042	22,049	4,143	731	165	971	-
2006	구분	93,922	68	1,049	13,793	47,132	25,288	4,599	824	196	973	-
2007	구분	101,249	60	1,001	14,598	48,446	29,724	5,330	916	261	913	-
2008	구분	94,736	72	826	12,744	43,978	29,600	5,432	941	203	940	-
2009	구분	89,594	52	649	11,771	40,352	28,898	5,875	962	206	829	-
2010	구분	93,266	65	655	10,936	41,183	31,053	7,044	1,074	244	1,012	-
2011	구분	91,526	74	716	10,008	40,212	30,549	7,722	1,140	282	823	-
2012	구분	93,914	82	674	8,980	41,859	31,161	8,747	1,209	280	922	-
2013	구분	84,066	87	671	7,039	37,089	28,455	8,320	1,117	270	1,018	-
2014	구분	83,711	68	644	6,225	36,866	28,481	8,949	1,204	269	1,005	-
2015	구분	83,005	64	719	5,789	35,489	29,433	8,920	1,439	256	896	-
2016	구분	75,536	50	633	4,950	30,383	28,566	8,429	1,460	258	807	-
2017	구분	65,389	40	497	4,075	24,150	26,345	7,860	1,488	274	660	-
2018	구분	58,074	24	383	3,388	20,167	24,531	7,199	1,523	276	583	-
2019	구분	53,673	22	302	2,935	17,460	23,168	7,322	1,618	324	522	-
